tag,x,y
blue,10.05,1.38
blue,15.84,1.10
blue,20.57,0.71
blue,25.25,0.17
blue,29.91,-0.51
blue,34.57,-1.29
blue,40.22,-2.31
blue,44.99,-3.15
blue,49.83,-3.92
blue,54.73,-4.55
blue,58.68,-4.91
blue,63.64,-5.13
blue,68.59,-5.04
blue,72.51,-4.71
blue,77.32,-3.95
blue,81.98,-2.78
blue,85.57,-1.54
blue,89.85,0.39
blue,93.84,2.73
blue,97.51,5.46
blue,100.20,7.91
blue,103.24,11.26
blue,105.90,14.91
blue,108.18,18.80
blue,110.10,22.89
blue,111.66,27.15
blue,112.89,31.53
blue,113.83,36.00
blue,114.48,40.52
blue,114.95,46.01
blue,115.11,50.59
blue,115.07,55.19
blue,114.85,59.79
blue,114.47,64.38
blue,113.90,68.96
blue,112.98,74.43
blue,111.99,78.94
blue,110.77,83.39
blue,109.29,87.75
blue,107.52,91.99
blue,105.45,96.07
blue,103.05,99.93
blue,100.32,103.52
blue,97.88,106.17
blue,94.53,109.15
blue,90.86,111.72
blue,86.88,113.84
blue,82.63,115.47
blue,79.06,116.40
blue,74.43,117.07
blue,70.61,117.22
blue,65.76,116.93
blue,60.86,116.13
blue,56.95,115.13
blue,52.10,113.49
blue,48.29,111.90
blue,43.63,109.63
blue,40.00,107.62
blue,35.59,104.94
blue,31.31,102.15
blue,27.15,99.33
blue,23.08,96.54
blue,19.05,93.83
blue,15.03,91.26
blue,10.95,88.86
blue,6.78,86.63
blue,2.48,84.57
blue,-1.98,82.66
blue,-6.63,80.87
blue,-11.45,79.13
blue,-16.46,77.38
blue,-20.56,75.93
blue,-25.80,74.00
blue,-30.02,72.33
blue,-34.25,70.50
blue,-38.42,68.50
blue,-42.49,66.30
blue,-46.42,63.90
blue,-50.13,61.29
blue,-53.59,58.48
blue,-56.73,55.47
blue,-60.13,51.46
blue,-62.38,48.10
blue,-64.18,44.63
blue,-65.74,40.20
blue,-66.42,36.63
blue,-66.54,32.21
blue,-66.06,28.74
blue,-64.73,24.55
blue,-63.12,21.36
blue,-60.43,17.63
blue,-57.78,14.89
blue,-53.92,11.80
blue,-50.43,9.63
blue,-46.65,7.75
blue,-42.62,6.14
blue,-37.32,4.52
blue,-32.93,3.53
blue,-28.47,2.77
blue,-23.97,2.23
blue,-19.48,1.86
blue,-13.91,1.61
blue,-9.54,1.52
blue,-4.18,1.50
blue,1.03,1.50
yellow,9.95,-1.62
yellow,15.64,-1.89
yellow,20.27,-2.28
yellow,24.86,-2.81
yellow,29.44,-3.48
yellow,34.05,-4.25
yellow,39.69,-5.26
yellow,44.49,-6.11
yellow,49.39,-6.89
yellow,53.39,-7.42
yellow,58.46,-7.90
yellow,63.59,-8.13
yellow,67.72,-8.08
yellow,72.85,-7.69
yellow,77.91,-6.89
yellow,81.88,-5.94
yellow,86.67,-4.33
yellow,91.23,-2.28
yellow,94.67,-0.31
yellow,98.67,2.54
yellow,102.32,5.78
yellow,105.57,9.37
yellow,107.87,12.46
yellow,110.38,16.56
yellow,112.49,20.86
yellow,114.22,25.32
yellow,115.58,29.90
yellow,116.61,34.54
yellow,117.35,39.24
yellow,117.82,43.95
yellow,118.07,48.67
yellow,118.11,53.39
yellow,117.91,59.04
yellow,117.54,63.75
yellow,117.00,68.45
yellow,116.28,73.13
yellow,115.34,77.80
yellow,114.17,82.43
yellow,112.75,87.00
yellow,111.03,91.49
yellow,108.98,95.84
yellow,106.59,100.02
yellow,103.82,103.96
yellow,100.68,107.60
yellow,97.88,110.27
yellow,94.06,113.22
yellow,89.88,115.72
yellow,85.40,117.69
yellow,81.62,118.88
yellow,76.70,119.84
yellow,72.65,120.19
yellow,67.50,120.11
yellow,63.34,119.63
yellow,58.16,118.57
yellow,54.06,117.37
yellow,49.03,115.50
yellow,45.11,113.73
yellow,40.35,111.26
yellow,36.67,109.14
yellow,32.23,106.35
yellow,27.95,103.51
yellow,23.82,100.68
yellow,19.79,97.93
yellow,15.82,95.31
yellow,11.87,92.86
yellow,7.87,90.58
yellow,3.77,88.49
yellow,-0.47,86.55
yellow,-4.91,84.73
yellow,-9.56,82.99
yellow,-14.42,81.26
yellow,-18.47,79.86
yellow,-23.68,78.00
yellow,-27.94,76.39
yellow,-32.25,74.65
yellow,-37.64,72.23
yellow,-41.89,70.07
yellow,-46.04,67.69
yellow,-50.03,65.08
yellow,-53.79,62.23
yellow,-57.27,59.16
yellow,-60.42,55.87
yellow,-63.18,52.37
yellow,-65.50,48.70
yellow,-67.33,44.88
yellow,-68.89,39.97
yellow,-69.50,35.99
yellow,-69.45,31.03
yellow,-68.76,27.14
yellow,-67.10,22.48
yellow,-65.16,18.96
yellow,-62.03,14.91
yellow,-59.03,11.97
yellow,-55.63,9.34
yellow,-51.89,7.01
yellow,-46.83,4.55
yellow,-42.53,2.94
yellow,-38.07,1.62
yellow,-33.51,0.58
yellow,-28.90,-0.20
yellow,-24.27,-0.76
yellow,-19.67,-1.13
yellow,-14.00,-1.39
yellow,-9.57,-1.48
yellow,-4.18,-1.50
yellow,1.03,-1.50
big_orange,6.34,1.46
big_orange,6.30,-1.54
big_orange,5.84,1.47
big_orange,5.80,-1.53
